ダウンロードした時刻：2022/07/04 13:35:53

,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃)
,,,
,,品質情報,均質番号
1882/2/23,11.2,8,1
1882/2/24,10.2,8,1
1882/2/25,11.1,8,1
1882/2/26,12.2,8,1
1882/2/27,10.1,8,1
1882/2/28,5.9,8,1
1882/3/1,5.5,8,1
1882/3/2,7.1,8,1
1882/3/3,6.2,8,1
1882/3/4,6.8,8,1
1882/3/5,10.8,8,1
1882/3/6,10.1,8,1
1882/3/7,11.7,8,1
1882/3/8,10.8,8,1
1882/3/9,10.6,8,1
1882/3/10,12.4,8,1
1882/3/11,10.9,8,1
1882/3/12,15.6,8,1
1882/3/13,9.4,8,1
1882/3/14,11.7,8,1
1882/3/15,12.0,8,1
1882/3/16,18.3,8,1
1882/3/17,22.7,8,1
1882/3/18,17.6,8,1
1882/3/19,9.3,8,1
1882/3/20,16.9,8,1
1882/3/21,10.1,8,1
1882/3/22,8.9,8,1
1882/3/23,13.3,8,1
1882/3/24,10.1,8,1
1882/3/25,13.9,8,1
1882/3/26,16.7,8,1
1882/3/27,14.6,8,1
1882/3/28,14.4,8,1
1882/3/29,15.0,8,1
1882/3/30,17.1,8,1
1882/3/31,16.2,8,1
1882/4/1,17.2,8,1
1882/4/2,18.9,8,1
1882/4/3,12.3,8,1
1882/4/4,24.0,8,1
1882/4/5,20.4,8,1
1882/4/6,12.7,8,1
1882/4/7,15.9,8,1
1882/4/8,14.7,8,1
1882/4/9,15.1,8,1
1882/4/10,20.9,8,1
1882/4/11,21.2,8,1
1882/4/12,14.0,8,1
1882/4/13,18.4,8,1
1882/4/14,17.4,8,1
1882/4/15,14.1,8,1
1882/4/16,14.1,8,1
1882/4/17,17.4,8,1
1882/4/18,19.4,8,1
1882/4/19,19.3,8,1
1882/4/20,18.1,8,1
1882/4/21,19.6,8,1
1882/4/22,19.4,8,1
1882/4/23,21.4,8,1
1882/4/24,18.9,8,1
1882/4/25,19.3,8,1
1882/4/26,20.9,8,1
1882/4/27,21.1,8,1
1882/4/28,16.6,8,1
1882/4/29,24.4,8,1
1882/4/30,24.8,8,1
1882/5/1,20.6,8,1
1882/5/2,21.8,8,1
